Description,SKU,Name,DisplayName,FranchisePrice,RetailPrice,UOM,ProductType,VendorName,VendorItemNum,Type,Thickness,TypeCode,ColorCode,ProfileCode
"Synergy Valet Rail Matt Alum 12""",AC-0000185,"Synergy Valet Rail Matt Alum 12""",Synergy Valet Rail Matt Alum 12in,19.624,67.703,EA,AC,HAFELE,808.70.930,4,1,0,0,0
"Synergy Valet Rail ORB 14""",AC-0000186,"Synergy Valet Rail ORB 14""",Synergy Valet Rail ORB 14in,23.034,79.467,EA,AC,HAFELE,808.70.131,4,1,0,0,0
"Synergy Valet Rail Matt Alum 14""",AC-0000187,"Synergy Valet Rail Matt Alum 14""",Synergy Valet Rail Matt Alum 14in,21.791,75.179,EA,AC,HAFELE,808.70.931,4,1,0,0,0
"Synergy Valet Rail Matt Ni 14""",AC-0000188,"Synergy Valet Rail Matt Ni 14""",Synergy Valet Rail Matt Ni 14in,21.791,75.179,EA,AC,HAFELE,808.70.631,4,1,0,0,0
"Synergy Valet Rail Chrome 14""",AC-0000189,"Synergy Valet Rail Chrome 14""",Synergy Valet Rail Chrome 14in,21.769,75.103,EA,AC,HAFELE,808.70.231,4,1,0,0,0
"Synergy Valet Rail White 14""",AC-0000190,"Synergy Valet Rail White 14""",Synergy Valet Rail White 14in,20.042,69.145,EA,AC,HAFELE,808.70.771,4,1,0,0,0
"Sig Tube Center Susp Supp DORB 3 5/8"" x 1 1/4""",AC-0000191,"Sig Tube Center Susp Supp DORB 3 5/8"" x 1 1/4""","Sig Tube Center Susp Supp DORB 3 5/8"" x 1 1/4""",3.597,13.444,EA,AC,HAFELE,802.13.100,4,1,0,0,0
"Sig Wardrobe Tube Chr PL, 1 1/4"" x 3/4""",AC-0000192,"Sig Wardrobe Tube Chr PL, 1 1/4"" x 3/4""","Sig Wardrobe Tube Chr PL, 1 1/4"" x 3/4""",2.544,9.509,LF,AC,HAFELE,801.78.212,4,1,0,0,0
"Sig Wardrobe Tube Chr PL, 1 1/4"" x 3/4""",AC-0000193,"Sig Wardrobe Tube Chr PL, 1 1/4"" x 3/4""","Sig Wardrobe Tube Chr PL, 1 1/4"" x 3/4""",3.127,11.688,LF,AC,HAFELE,801.78.312,4,1,0,0,0
"Sig Wardrobe Tube Chr PL, 1 1/4"" x 3/4""",AC-0000194,"Sig Wardrobe Tube Chr PL, 1 1/4"" x 3/4""","Sig Wardrobe Tube Chr PL, 1 1/4"" x 3/4""",3.127,11.688,LF,AC,HAFELE,801.78.912,4,1,0,0,0
"Sig Wardrobe Tube Matt Nick, 1 1/4"" x 3/4""",AC-0000195,"Sig Wardrobe Tube Matt Nick, 1 1/4"" x 3/4""","Sig Wardrobe Tube Matt Nick, 1 1/4"" x 3/4""",2.544,9.509,LF,AC,HAFELE,801.78.612,4,1,0,0,0
"Sig Wardrobe Tube ORB, 1 1/4"" x 3/4""",AC-0000196,"Sig Wardrobe Tube ORB, 1 1/4"" x 3/4""","Sig Wardrobe Tube ORB, 1 1/4"" x 3/4""",2.544,9.509,LF,AC,HAFELE,801.78.612,4,1,0,0,0
"Sig Tube Support Chr PL, 1 3/4"" x 1 1/4""",AC-0000197,"Sig Tube Support Chr PL, 1 3/4"" x 1 1/4""","Sig Tube Support Chr PL, 1 3/4"" x 1 1/4""",2.057,7.688,EA,AC,HAFELE,803.39.250,4,1,0,0,0
"Sig Tube Support DORB, 1 3/4"" x 1 1/4""",AC-0000198,"Sig Tube Support DORB, 1 3/4"" x 1 1/4""","Sig Tube Support DORB, 1 3/4"" x 1 1/4""",2.2,8.223,EA,AC,HAFELE,803.39.150,4,1,0,0,0
"Sig Tube Support Matt Gold, 1 3/4"" x 1 1/4""",AC-0000199,"Sig Tube Support Matt Gold, 1 3/4"" x 1 1/4""","Sig Tube Support Matt Gold, 1 3/4"" x 1 1/4""",2.838,10.607,EA,AC,HAFELE,803.39.950,4,1,0,0,0
"Sig Tube Support Matt Nick 1 3/4"" x 1 1/4""",AC-0000200,"Sig Tube Support Matt Nick 1 3/4"" x 1 1/4""","Sig Tube Support Matt Nick 1 3/4"" x 1 1/4""",2.211,8.264,EA,AC,HAFELE,803.64.650,4,1,0,0,0
"Sig Tube Support Slate/Graphite, 1 3/4"" x 1 1/4""",AC-0000201,"Sig Tube Support Slate/Graphite, 1 3/4"" x 1 1/4""","Sig Tube Support Slate/Graphite, 1 3/4"" x 1 1/4""",2.541,9.497,EA,AC,HAFELE,803.39.750,4,1,0,0,0
ROBE HOOK - NI MATT,AC-0000202,ROBE HOOK - NI MATT,ROBE HOOK - NI MATT,1.672,5.768,EA,AC,HAFELE,845.01.600,4,1,0,0,0
Robe Hook - Chrome,AC-0000203,Robe Hook - Chrome,Robe Hook - Chrome,0.669,2.307,EA,AC,HAFELE,885.06.209,4,1,0,0,0
Chrome Rod (92 inches per stick),AC-0000204,Oval Chrome Rod,Oval Chrome Rod 8ft,0.562,2.586,LF,AC,HAFELE,801.13.201,4,1,0,0,0
PULL 128M POL CHM,AC-0000205,PULL WIRE POL CHM 155.00.932,PULL WIRE POL CHM 155.00.932,1.514,6.963,EA,AC,HAFELE,155.00.932,4,1,0,0,0
